134999,Kiku Cuernavaca,,Revolucion,Cuernavaca,Morelos,kikucuernavaca.com.mx,Japanese
132825,puesto de tacos,,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,?,Mexican
135106,El Rinc�n de San Francisco,,Universidad 169,San Luis Potosi,San Luis Potosi,?,Mexican
132667,little pizza Emilio Portes Gil,,calle emilio portes gil,victoria ,tamaulipas,?,Armenian
132613,carnitas_mata,,lic. Emilio portes gil,victoria,Tamaulipas,?,Mexican
135040,Restaurant los Compadres,,Camino a Simon Diaz 155 Centro,San Luis Potosi,SLP,?,?
132732,Taqueria EL amigo ,,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,?,Mexican
132875,shi ro ie,,?,?,?,?,Japanese
132609,Pollo_Frito_Buenos_Aires,,tampico,victoria,Tamaulipas,?,Fast_Food
135082,la Estrella de Dimas,,Villa de Pozos 192 Villa de Pozos,San Luis Potosi,SLP,?,?
135070,Restaurante 75,,Villa de Pozos 4497 Villa de Pozos,San Luis Potosi,SLP,?,?
135069,Abondance Restaurante Bar,,Industrias 908 Valle Dorado,San Luis Potosi,SLP,?,Bar
135065,El angel Restaurante,,Venustiano Carranza 1625 Jardin,San Luis Potosi,SLP,?,?
135076,Restaurante Pueblo Bonito,,Mexico 2015 Providencia,San Luis Potosi,SLP,?,?
135086,Mcdonalds Parque Tangamanga,,Lateral Salvador Nava Martinez 3145,San Luis Potosi,SLP,?,Fast_Food
132870,Tortas y hamburguesas el gordo,,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,?,Burgers
132854,Sirlone,,carr. mexico,San Luis Potosi,San Luis Potosi,?,International
132937,rockabilly ,,agustin de iturbide,san luis potosi,san luis potosi,?,Bar
132856,Unicols Pizza,,Plaza del Carmen,San Luis Potosi,San Luis Potosi,?,Italian
132668,TACOS EL GUERO,,?,victoria,tamaulipas,?,Mexican
135033,Restaurant El Muladar de Calzada,,De Guadalupe 460 San Miguelito,San Luis Potosi,SLP,?,?
132862,La Posada del Virrey,,Av. V. Carranza,San Luis Potosi,San Luis Potosi,?,International
134983,Restaurant and Bar and Clothesline Carlos N Charlies,,Domingo 10 711 El Empleado,Cuernavaca,Morelos,carlosandcharlies.com,Bar_Pub_Brewery
132851,KFC,,?,San Luis Potosi,San Luis Potosi,?,Game
135013,Giovannis,,40 Norte Civac 1RA. Seccion,Jiutepec,Morelos,?,?
135042,Restaurant Oriental Express,,Tangamanga 7 Tangamanga,San Luis Potosi,SLP,?,Chinese
132768,Mariscos Tia Licha,,avenida salvador montiel ,cuernavaca,morelos,?,Family
132561,cafe ambar,,?,?,?,?,?
135045,Restaurante la Gran Via,,Venustiano Carranza 560 Centro,San Luis Potosi,SLP,lagranvia.com.mx,?
132847,don burguers,,r.b. anaya esq. florencia,slp,slp,?,?
135054,Restaurante y Pescaderia Tampico,,Ricardo B. Anaya 2700 Estrella de Oriente,San Luis Potosi,SLP,?,Seafood
134975,Rincon del Bife,,?,?,?,?,?
135053,La Fontana Pizza Restaurante and Cafe,,Satelite 606 Satelite,San Luis Potosi,SLP,?,Pizzeria
135050,Restaurante la Estrella de Dima,,Soledad Sn Arboledas de Soledad,Soledad,SLP,?,?
135025,El Rincon de San Francisco,,1a. de Lozada 1,San Luis Potosi,SLP,?,Mexican
135030,Preambulo Wifi Zone Cafe,,Anahuac 805,San Luis Potosi,SLP,?,Cafeteria
135057,El Herradero Restaurante and Bar,,Costado Sur Central Camionera Km 2,San Luis Potosi,SLP,?,Bar
135079,Koye Sushi,,Nereo Rodriguez Barragan 450 E Centro,San Luis Potosi,SLP,?,Chinese
134992,Restaurant Teely,,La Pradera,Cuernavaca,Morelos,?,?
132954,la parroquia,,venustiano carranza,san luis potosi,san luis potosi,?,Breakfast-Brunch
135041,Luna Cafe,,Francisco I. Madero 215,San Luis Potosi,SLP,lunacafe.com.mx,Cafeteria
132608,Hamburguesas La perica,,cd. mier,victoria,Tamaulipas,?,Mexican
135046,Restaurante El Reyecito,,Agricultura 595 del Valle,San Luis Potosi,SLP,reyecito.com,Fast_Food
132564,churchs,,?,?,?,?,?
132869,Dominos Pizza,,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,?,Pizzeria
132925,el pueblito,,?,?,?,?,Mexican
132955,emilianos,,venustiano carranza,san luis potos,mexico,?,Bar_Pub_Brewery
135059,Restaurant Bar Hacienda los Martinez,,Santos Degollado 745 los Alamitos,San Luis Potosi,SLP,?,Bar
135001,Vips,,Emiliano Zapata No. 825 Tlaltenongo,Cuernavaca,Morelos,?,?
135063,Restaurante Alhondiga,,Alhondiga 62 Centro,San Luis Potosi,SLP,?,?
135080,los Toneles,,Estatuto Juridico 1040 Burocratas,San Luis Potosi,SLP,lostoneles.com.mx,?
135000,Restaurant los Pinos,,Federal Mexico - Acapulco 10 3 de Mayo,Cuernavaca,Morelos,?,?
135066,Restaurante Guerra,,20 de Noviembre 1817 Tlaxcala,San Luis Potosi,SLP,?,?
135034,Michiko Restaurant Japones,,Cordillera de Los Alpes 160 Lomas 2 Seccion,San Luis Potosi,SLP,?,Japanese
135060,Restaurante Marisco Sam,,Ignacio Allende 785 Centro,San Luis Potosi,SLP,?,Seafood
135055,la Cochinita Pibil Restaurante Yucateco,,Venustiano Carranza 2175 Jardin,San Luis Potosi,SLP,?,Mexican
135108,Potzocalli,,Carretera Central Sn,San Luis Potosi,?,?,?
135074,Restaurante la Parroquia Potosina,,Venustiano Carranza 303 Centro,San Luis Potosi,SLP,?,Contemporary
135018,El Oceano Dorado,,Libramiento Burgos Colonia Las Animas,Cuernavaca,Morelos,eloceanodorado.com,Mexican
135064,Restaurante El Chivero S.A. de C.V.,,Angel Veral 328 Altamira,San Luis Potosi,SLP,?,?
135038,Restaurant la Chalita,,Guajardo Sn San Luis Potosi Centro,San Luis Potosi,SLP,?,?
135081,El Club,,Mexico 810 Centro,San Luis Potosi,SLP,?,?
132723,Gordas de morales,,?,?,San Luis Potosi,?,Mexican
135051,Restaurante Versalles,,Francisco I. Madero 145 Centro,San Luis Potosi,SLP,?,?
135021,Subway,,Rio Mayo 17 Vista Hermosa,Cuernavaca,Morelos,?,Fast_Food
135052,La Cantina Restaurante,,Ignacio Aldama 300 Centro,San Luis Potosi,SLP,lacantinaslp.com,Bar_Pub_Brewery
132845,Cenaduria El Rincón de Tlaquepaque,,av. seminario,san luis potosi,san luis potosi,?,Mexican
135011,Los Vikingos,,36 Sur Civac,Jiutepec,Morelos,?,?
132858,Hamburguesas Valle Dorado,,Av. Coral,San Luis Potosi,San Luis Potosi,?,Burgers
135026,la Cantina,,Capitan Caldera No. 420 Tequisqueapan,San Luis Potosi,SLP,lacantinaslp.com,Bar_Pub_Brewery
132884,dairy queen,,?,?,?,?,?
135016,Arrachela Grill,,69 Tres De Mayo,Cuernavaca,Morelos,?,?
135104,vips,,?,?,?,?,Mexican
132630,palomo tec,,blvrd emilio portes gil,victoria,tamaulipas,?,Mexican
135047,Restaurante Casa de las Flores,,General Mariano Arista 1205 Barrio de Tequisquiap,San Luis Potosi,SLP,?,?
132951,VIPS,,NICOLAS ZAPATA 300,San Luis Potosi,San Luis Potosi,?,American
132665,TACOS CORRECAMINOS,,?,victoria,tamaulipas,?,Mexican
135044,Restaurant Wu Zhuo Yi,,Himno Nacional 100 Avenida,San Luis Potosi,SLP,?,Chinese
135035,El Mundo de la Pasta,,Rio Papaloapan 265 Lomas de San Luis (3),San Luis Potosi,SLP,?,Italian
135071,Restaurante la Cantina,,De La Estrella 2005 Estrella de Oriente,San Luis Potosi,SLP,?,Bar_Pub_Brewery
132834,Gorditas Doa Gloria,,sevilla y olmedo 715 a,san luis potosi,san luis potosi,?,Mexican
132846,el lechon potosino ,,circuito oriente esq. carretera 57,san luis potosi ,slp,?,International
135048,Restaurante Bar Fu-hao,,Jesus Goytortua 390 Tangamanga,San Luis Potosi,SLP,?,Bar
132717,tortas hawai,,?,?,?,?,Fast_Food
132861,Carls Jr,,Av. V. Carranza,San Luis Potosi,San Luis Potosi,?,Burgers
132885,Hamburguesas saul,,Av. Saan Luis enttre moctezuma y salinas,San Luis Potosi,San Luis Potosi,?,Cafeteria
132740,Carreton de Flautas y Migadas,,?,Ciudad Victoria,Tamaulipas,?,Mexican
132830,Rincon Huasteco,,?,?,?,?,?
132773,El cotorreo,,Emiliano Zapata Col. Tres de Mayo,Cuernavaca,Morelos,?,Mexican
132706,Gorditas Dona Tota,,Zaragoza entre Francisco Zarco y Lopez Velarde,Cd. Victoria,Tamaulipas,?,Mexican
132872,Pizzeria Julios,,?,s.l.p,mexico,?,American
134987,Chilis Cuernavaca,,Rio Mayo Colonia Vista Hermosa Esq. Rio Balsas,Cuernavaca,Morelos,chilis.com.mx,?
132572,Cafe Chaires,,?,San Luis Potosi,San Luis Potosi,?,Cafeteria
132958,tacos los volcanes,,avenida hivno nacional,san luis potosi,san luis potos,?,American
132733,Little Cesarz,,?,Ciudad Victoria,Tamaulipas,?,Pizzeria
132922,cafe punta del cielo,,?,?,?,?,Cafeteria
132715,tacos de la estacion,,?,?,?,?,Mexican
135027,Restaurant Orizatlan,,Pascual M. Hernandez 240,San Luis Potosi,SLP,?,Mexican
132767,Restaurant Familiar El Chino,,Paseo de las Fuentes,Jiutepec,Morelos,?,Vietnamese
135039,Restaurant de Mariscos de Picon,,Miguel Barragan 46 Centro,San Luis Potosi,SLP,?,Seafood
134996,Sanborns Casa Piedra,,Lomas del Mirador,Cuernavaca,Morelos,?,?
132755,La Estrella de Dimas,,Av. de los Pintores,San Luis Potosi,S.L.P.,?,Mexican
135043,pizza clasica,,524 Soledad de Graciano Sanchez,Soledad,SLP,?,Pizzeria
132654,Carnitas Mata  Calle 16 de Septiembre,,16 de Septiembre,victoria ,tamaulipas,?,?
135049,Restaurante de Mariscos la Langosta,,Cordillera de Los Alpes 675 Loma Verde,San Luis Potosi,SLP,?,Seafood
135073,Restaurante Bar El Gallinero,,Pascual M. Hernandez 210 Centro,San Luis Potosi,SLP,?,Bar_Pub_Brewery
132560,puesto de gorditas,,frente al tecnologico,victoria,tamaulipas,?,Regional
134976,Log Yin,,?,?,?,?,Burgers
135075,Mariscos El Pescador,,Himno Nacional 2104 Tangamanga,San Luis Potosi,SLP,?,Seafood
132660,carnitas mata calle Emilio Portes Gil,,Emilio Portes Gil,victoria,tamaulipas,?,?
132921,crudalia,,?,?,?,?,Bar
132594,tacos de barbacoa enfrente del Tec,,?,?,?,?,Mexican
134986,Restaurant Las Mananitas,,Ricardo Linares 107,Cuernavaca,Morelos,lasmananitas.com.mx,International
135062,Restaurante El Cielo Potosino,,Julian de Los Reyes 400 Centro,San Luis Potosi,SLP,?,?
132766,Mikasa,,Himno nacional esq. Blvd. Juarez,Cuernavaca,Morelos,?,Japanese
135088,Cafeteria cenidet,,Interior Internado Palmira SN,Cuernavaca,Morelos,www.cenidet.edu.mx,Cafeteria
135058,Restaurante Tiberius,,Munoz Sn Centro,San Luis Potosi,SLP,?,Pizzeria
132754,Cabana Huasteca,,Cuauhtemoc 455,San Luis Potosi,S.L.P.,?,Mexican
132584,Gorditas Dona Tota,,?,?,?,?,Mexican
135032,Cafeteria y Restaurant El Pacifico,,Constitucion 200 Centro,San Luis Potosi,SLP,?,Contemporary
135028,La Virreina,,Av. Carranza 830,San Luis Potosi,SLP,?,Mexican
135085,Tortas Locas Hipocampo,,Venustiano Carranza 719 Centro,San Luis Potosi,SLP,?,Fast_Food
132663,tacos abi,,?,victoria,tamaulipas,?,Mexican
132626,la perica hamburguesa,,?,victoria,tamaulipas,?,Italian
132583,McDonalds Centro,,Rayon sn col. Centro,Cuernavaca,Morelos,no,American
132866,Chaires,,Ricardo B. Anaya,San Luis Potosi,San Luis Potosi,?,Cafeteria
135072,Sushi Itto,,Venustiano Carranza 1809 C Polanco,San Luis Potosi,SLP,sushi-itto.com.mx,Japanese
135109,Paniroles,,?,?,?,?,Italian
135019,Restaurant Bar Coty y Pablo,,Paseo de Las Fuentes 24 Pedregal de Las Fuentes,Jiutepec,Morelos,?,Bar
132877,sirloin stockade,,?,?,?,?,?
